ano_eleicao;sigla_uf;numero_zona;sigla_partido;numero_cand;desc_APTO_INAPTO;desc_Eleito_Neleito;total_votos;
2016;AC;8;PSB;40;APTO;ELEITO;3852;
2016;AC;8;PP;11;APTO;NAOELEITO;1545;
2016;AC;8;PDT;12;APTO;NAOELEITO;886;
2016;AC;8;PSDB;45;APTO;NAOELEITO;627;
2016;AC;8;PRB;10;APTO;NAOELEITO;259;
2016;AC;6;PSDB;45;APTO;ELEITO;2324;
2016;AC;6;PCDOB;65;APTO;NAOELEITO;1342;
2016;AC;6;DEM;25;APTO;NAOELEITO;753;
2016;AC;6;PT;13;APTO;ELEITO;6819;
2016;AC;6;PSDB;45;APTO;NAOELEITO;6013;
2016;AC;9;PCDOB;65;APTO;ELEITO;1853;
2016;AC;9;PP;11;APTO;NAOELEITO;1468;
2016;AC;9;PT;13;APTO;NAOELEITO;1145;
2016;AC;9;PMDB;15;APTO;NAOELEITO;1038;
2016;AC;9;PSB;40;APTO;NAOELEITO;700;
2016;AC;8;PP;11;APTO;ELEITO;2198;
2016;AC;8;DEM;25;APTO;NAOELEITO;1898;
2016;AC;8;PR;22;APTO;NAOELEITO;880;
2016;AC;8;PT;13;APTO;NAOELEITO;678;
2016;AC;8;PSB;40;APTO;NAOELEITO;501;
2016;AC;4;PMDB;15;APTO;ELEITO;18119;
2016;AC;4;PSB;40;APTO;NAOELEITO;11466;
2016;AC;4;PSDB;45;APTO;NAOELEITO;9292;
2016;AC;6;PSB;40;APTO;ELEITO;4068;
2016;AC;6;PT;13;APTO;NAOELEITO;3026;
2016;AC;6;PSD;55;APTO;NAOELEITO;1549;
2016;AC;7;PP;11;APTO;ELEITO;6558;
2016;AC;7;PT;13;APTO;NAOELEITO;4532;
2016;AC;7;PMDB;15;APTO;NAOELEITO;2875;
2016;AC;5;PCDOB;65;APTO;ELEITO;2012;
2016;AC;5;PMDB;15;APTO;NAOELEITO;881;
2016;AC;5;PSDB;45;APTO;NAOELEITO;753;
2016;AC;4;PT;13;APTO;ELEITO;5390;
2016;AC;4;PP;11;APTO;NAOELEITO;4024;
2016;AC;4;PEN;51;APTO;NAOELEITO;152;
2016;AC;3;PMDB;15;APTO;ELEITO;2167;
2016;AC;3;PT;13;APTO;NAOELEITO;1707;
2016;AC;3;PSD;55;APTO;NAOELEITO;978;
2016;AC;3;PSDC;27;APTO;NAOELEITO;100;
2016;AC;4;PMDB;15;APTO;ELEITO;4094;
2016;AC;4;PT;13;APTO;NAOELEITO;3150;
2016;AC;8;PSDB;45;APTO;ELEITO;4864;
2016;AC;8;PCDOB;65;APTO;NAOELEITO;2953;
2016;AC;8;PR;22;APTO;NAOELEITO;2247;
2016;AC;8;PMN;33;APTO;NAOELEITO;116;
2016;AC;10;PROS;90;APTO;ELEITO;4442;
2016;AC;10;PP;11;APTO;NAOELEITO;3227;
2016;AC;10;PT;13;APTO;NAOELEITO;1154;
2016;AC;10;PMDB;15;APTO;NAOELEITO;970;
2016;AC;4;PMDB;15;APTO;ELEITO;3091;
2016;AC;4;PT;13;APTO;NAOELEITO;1502;
2016;AC;9;PT;13;APTO;ELEITO;39664;
2016;AC;10;PT;13;APTO;ELEITO;33062;
2016;AC;1;PT;13;APTO;ELEITO;31585;
